antecedent,consequent,support,confidence,lift
{14},{18},0.527,0.736,1.043
{14},{34},0.475,0.662,1.034
{14},{30},0.421,0.588,1.043
{14},{19},0.399,0.557,1.033
{14},{6},0.388,0.541,1.025
{14},{1},0.382,0.533,1.025
{14},{16},0.380,0.530,1.032
{14},{48},0.356,0.497,1.037
{14},{32},0.299,0.418,1.012
{14},{26},0.305,0.426,1.033
{14},{4},0.289,0.403,1.016
{14},{49},0.289,0.403,1.037
{14},{44},0.283,0.395,1.058
{14},{46},0.279,0.389,1.045
{14},{12},0.279,0.389,1.065
{14},{28},0.257,0.358,1.046
{14},{42},0.234,0.326,1.028
{14},{39},0.234,0.327,1.034
{14},{21},0.233,0.324,1.058
{14},{15},0.221,0.308,1.009
{14},{0},0.213,0.297,1.043
{14},{11},0.199,0.278,0.986
{14},{29},0.201,0.281,1.002
{14},{2},0.202,0.282,1.033
{14},{20},0.205,0.286,1.058
{14},{38},0.204,0.285,1.059
{14},{3},0.175,0.244,1.024
{14},{37},0.175,0.244,1.047
{14},{5},0.172,0.239,1.055
{14},{35},0.169,0.235,1.061
{14},{24},0.157,0.220,1.034
{14},{43},0.155,0.216,1.041
{14},{41},0.153,0.213,1.031
{14},{47},0.153,0.214,1.039
{14},{33},0.125,0.175,1.034
{14},{31},0.124,0.173,1.044
{14},{13},0.110,0.153,1.032
{14},{10},0.101,0.142,1.005
{14},"{18,34}",0.360,0.503,1.078
{14},"{18,30}",0.310,0.432,1.089
{14},"{34,30}",0.282,0.394,1.070
{14},"{18,34,30}",0.216,0.301,1.117
{14},"{18,19}",0.306,0.426,1.067
{14},"{34,19}",0.275,0.384,1.067
{14},"{18,34,19}",0.215,0.300,1.096
{14},"{30,19}",0.241,0.336,1.061
{14},"{18,30,19}",0.186,0.260,1.097
{14},"{18,34,30,19}",0.133,0.186,1.123
{14},"{34,30,19}",0.168,0.234,1.089
{14},"{18,6}",0.290,0.404,1.059
{14},"{34,6}",0.265,0.370,1.050
{14},"{18,34,6}",0.202,0.282,1.077
{14},"{30,6}",0.235,0.327,1.067
{14},"{18,30,6}",0.174,0.243,1.097
{14},"{18,34,30,6}",0.122,0.171,1.106
{14},"{34,30,6}",0.162,0.226,1.086
{14},"{19,6}",0.221,0.308,1.032
{14},"{18,19,6}",0.171,0.238,1.074
{14},"{18,34,19,6}",0.121,0.169,1.086
{14},"{18,30,19,6}",0.105,0.147,1.104
{14},"{34,19,6}",0.154,0.215,1.053
{14},"{30,19,6}",0.136,0.189,1.059
{14},"{18,1}",0.293,0.408,1.055
{14},"{34,1}",0.266,0.371,1.053
{14},"{18,34,1}",0.211,0.294,1.086
{14},"{30,1}",0.239,0.333,1.075
{14},"{18,30,1}",0.181,0.252,1.122
{14},"{18,34,30,1}",0.131,0.183,1.133
{14},"{34,30,1}",0.168,0.234,1.097
{14},"{19,1}",0.220,0.307,1.064
{14},"{18,19,1}",0.173,0.241,1.082
{14},"{18,34,19,1}",0.128,0.178,1.111
{14},"{18,30,19,1}",0.108,0.151,1.127
{14},"{34,19,1}",0.159,0.223,1.095
{14},"{34,30,19,1}",0.104,0.145,1.130
{14},"{30,19,1}",0.139,0.194,1.095
{14},"{6,1}",0.214,0.299,1.051
{14},"{18,6,1}",0.165,0.231,1.061
{14},"{18,34,6,1}",0.121,0.169,1.085
{14},"{18,30,6,1}",0.103,0.144,1.111
{14},"{18,19,6,1}",0.101,0.141,1.087
{14},"{34,6,1}",0.155,0.217,1.078
{14},"{30,6,1}",0.137,0.191,1.094
{14},"{19,6,1}",0.128,0.179,1.072
{14},"{18,16}",0.280,0.391,1.061
{14},"{34,16}",0.257,0.358,1.077
{14},"{18,34,16}",0.195,0.271,1.105
{14},"{30,16}",0.220,0.307,1.060
{14},"{18,30,16}",0.160,0.223,1.087
{14},"{18,34,30,16}",0.113,0.158,1.121
{14},"{34,30,16}",0.150,0.209,1.092
{14},"{6,16}",0.209,0.291,1.046
{14},"{18,6,16}",0.157,0.219,1.074
{14},"{18,34,6,16}",0.110,0.153,1.098
{14},"{34,6,16}",0.142,0.198,1.081
{14},"{30,6,16}",0.125,0.174,1.063
{14},"{19,6,16}",0.118,0.165,1.023
{14},"{19,16}",0.214,0.299,1.044
{14},"{18,19,16}",0.163,0.228,1.059
{14},"{18,34,19,16}",0.115,0.161,1.102
{14},"{34,19,16}",0.148,0.207,1.091
{14},"{30,19,16}",0.126,0.176,1.058
{14},"{1,16}",0.208,0.291,1.046
{14},"{18,1,16}",0.159,0.222,1.061
{14},"{18,34,1,16}",0.113,0.158,1.098
{14},"{34,1,16}",0.146,0.203,1.083
{14},"{30,1,16}",0.128,0.179,1.085
{14},"{19,1,16}",0.120,0.168,1.046
{14},"{6,1,16}",0.120,0.167,1.057
{14},"{18,48}",0.270,0.377,1.085
{14},"{34,48}",0.242,0.338,1.069
{14},"{18,34,48}",0.187,0.261,1.110
{14},"{30,48}",0.218,0.304,1.075
{14},"{18,30,48}",0.165,0.230,1.123
{14},"{18,34,30,48}",0.119,0.167,1.154
{14},"{34,30,48}",0.151,0.210,1.104
{14},"{19,48}",0.210,0.292,1.093
{14},"{18,19,48}",0.161,0.225,1.119
{14},"{18,34,19,48}",0.113,0.157,1.156
{14},"{18,30,19,48}",0.102,0.142,1.135
{14},"{34,19,48}",0.144,0.201,1.133
{14},"{30,19,48}",0.131,0.182,1.103
{14},"{6,48}",0.194,0.270,1.057
{14},"{18,6,48}",0.151,0.211,1.109
{14},"{18,34,6,48}",0.109,0.152,1.123
{14},"{34,6,48}",0.137,0.191,1.081
{14},"{30,6,48}",0.120,0.168,1.085
{14},"{19,6,48}",0.118,0.165,1.088
{14},"{1,48}",0.195,0.272,1.070
{14},"{18,1,48}",0.153,0.214,1.105
{14},"{18,34,1,48}",0.113,0.158,1.126
{14},"{34,1,48}",0.140,0.196,1.098
{14},"{30,1,48}",0.126,0.176,1.117
{14},"{19,1,48}",0.120,0.168,1.134
{14},"{6,1,48}",0.112,0.156,1.105
{14},"{16,48}",0.193,0.269,1.084
{14},"{18,16,48}",0.147,0.205,1.116
{14},"{18,34,16,48}",0.102,0.143,1.142
{14},"{34,16,48}",0.132,0.184,1.118
{14},"{30,16,48}",0.117,0.163,1.105
{14},"{19,16,48}",0.112,0.157,1.101
{14},"{1,16,48}",0.108,0.150,1.091
{14},"{6,16,48}",0.108,0.151,1.103
{14},"{34,32}",0.209,0.292,1.053
{14},"{18,34,32}",0.164,0.230,1.097
{14},"{30,32}",0.187,0.261,1.068
{14},"{34,30,32}",0.134,0.187,1.101
{14},"{18,30,32}",0.140,0.196,1.113
{14},"{18,34,30,32}",0.103,0.143,1.143
{14},"{19,32}",0.169,0.236,1.043
{14},"{34,19,32}",0.121,0.169,1.066
{14},"{30,19,32}",0.107,0.149,1.078
{14},"{18,19,32}",0.137,0.191,1.085
{14},"{6,32}",0.173,0.241,1.028
{14},"{34,6,32}",0.122,0.170,1.061
{14},"{30,6,32}",0.112,0.156,1.085
{14},"{18,6,32}",0.134,0.188,1.065
{14},"{1,32}",0.166,0.231,1.026
{14},"{34,1,32}",0.125,0.175,1.072
{14},"{30,1,32}",0.109,0.153,1.079
{14},"{18,1,32}",0.134,0.187,1.064
{14},"{18,34,1,32}",0.103,0.144,1.112
{14},"{48,32}",0.153,0.214,1.045
{14},"{34,48,32}",0.109,0.152,1.078
{14},"{18,48,32}",0.120,0.168,1.104
{14},"{18,32}",0.231,0.322,1.059
{14},"{16,32}",0.165,0.231,1.031
{14},"{18,16,32}",0.127,0.177,1.061
{14},"{34,16,32}",0.118,0.165,1.095
{14},"{30,16,32}",0.104,0.145,1.091
{14},"{18,26}",0.232,0.324,1.083
{14},"{34,26}",0.207,0.288,1.069
{14},"{18,34,26}",0.163,0.228,1.126
{14},"{30,26}",0.188,0.262,1.070
{14},"{18,30,26}",0.145,0.202,1.130
{14},"{18,34,30,26}",0.105,0.146,1.165
{14},"{34,30,26}",0.129,0.181,1.105
{14},"{6,26}",0.167,0.233,1.051
{14},"{18,6,26}",0.128,0.179,1.089
{14},"{34,6,26}",0.114,0.160,1.073
{14},"{30,6,26}",0.104,0.145,1.105
{14},"{16,26}",0.172,0.239,1.078
{14},"{18,16,26}",0.134,0.187,1.117
{14},"{34,16,26}",0.119,0.166,1.114
{14},"{30,16,26}",0.104,0.146,1.114
{14},"{19,26}",0.176,0.245,1.055
{14},"{34,19,26}",0.123,0.171,1.099
{14},"{30,19,26}",0.108,0.151,1.082
{14},"{18,19,26}",0.139,0.194,1.106
{14},"{18,34,19,26}",0.100,0.140,1.144
{14},"{1,26}",0.165,0.231,1.061
{14},"{34,1,26}",0.118,0.164,1.102
{14},"{30,1,26}",0.107,0.150,1.101
{14},"{18,1,26}",0.131,0.183,1.110
{14},"{48,26}",0.156,0.218,1.066
{14},"{34,48,26}",0.108,0.151,1.113
{14},"{18,48,26}",0.120,0.168,1.105
{14},"{32,26}",0.125,0.174,1.025
{14},"{18,32,26}",0.100,0.140,1.090
{14},"{18,4}",0.220,0.307,1.057
{14},"{34,4}",0.201,0.280,1.039
{14},"{18,34,4}",0.158,0.221,1.079
{14},"{30,4}",0.184,0.257,1.062
{14},"{18,30,4}",0.138,0.192,1.115
{14},"{18,34,30,4}",0.100,0.140,1.122
{14},"{34,30,4}",0.129,0.180,1.075
{14},"{19,4}",0.173,0.241,1.057
{14},"{18,19,4}",0.136,0.189,1.094
{14},"{34,19,4}",0.124,0.173,1.077
{14},"{30,19,4}",0.109,0.153,1.095
{14},"{6,4}",0.164,0.229,1.021
{14},"{18,6,4}",0.124,0.174,1.043
{14},"{34,6,4}",0.116,0.162,1.029
{14},"{30,6,4}",0.108,0.150,1.070
{14},"{1,4}",0.159,0.222,1.040
{14},"{18,1,4}",0.125,0.175,1.068
{14},"{34,1,4}",0.115,0.161,1.051
{14},"{30,1,4}",0.109,0.153,1.092
{14},"{48,4}",0.148,0.207,1.051
{14},"{18,48,4}",0.115,0.161,1.085
{14},"{34,48,4}",0.108,0.151,1.085
{14},"{32,4}",0.124,0.174,1.031
{14},"{26,4}",0.129,0.181,1.053
{14},"{18,26,4}",0.103,0.144,1.103
{14},"{16,4}",0.153,0.214,1.046
{14},"{18,16,4}",0.118,0.165,1.077
{14},"{34,16,4}",0.108,0.151,1.064
{14},"{18,49}",0.219,0.306,1.081
{14},"{34,49}",0.192,0.268,1.057
{14},"{18,34,49}",0.150,0.209,1.113
{14},"{30,49}",0.178,0.248,1.080
{14},"{18,30,49}",0.133,0.185,1.117
{14},"{34,30,49}",0.118,0.164,1.092
{14},"{19,49}",0.171,0.238,1.087
{14},"{18,19,49}",0.134,0.187,1.108
{14},"{34,19,49}",0.118,0.165,1.101
{14},"{30,19,49}",0.110,0.154,1.115
{14},"{6,49}",0.164,0.229,1.068
{14},"{18,6,49}",0.128,0.178,1.091
{14},"{34,6,49}",0.115,0.160,1.096
{14},"{30,6,49}",0.107,0.149,1.122
{14},"{1,49}",0.155,0.216,1.054
{14},"{18,1,49}",0.120,0.168,1.090
{14},"{34,1,49}",0.106,0.148,1.064
{14},"{30,1,49}",0.103,0.144,1.132
{14},"{48,49}",0.146,0.204,1.071
{14},"{18,48,49}",0.112,0.157,1.117
{14},"{34,48,49}",0.101,0.141,1.081
{14},"{4,49}",0.121,0.169,1.065
{14},"{16,49}",0.159,0.222,1.044
{14},"{18,16,49}",0.124,0.173,1.085
{14},"{34,16,49}",0.108,0.150,1.089
{14},"{26,49}",0.129,0.180,1.095
{14},"{18,26,49}",0.101,0.141,1.139
{14},"{32,49}",0.129,0.181,1.045
{14},"{18,32,49}",0.104,0.145,1.097
{14},"{18,44}",0.212,0.296,1.093
{14},"{34,44}",0.195,0.272,1.091
{14},"{18,34,44}",0.151,0.211,1.123
{14},"{30,44}",0.170,0.236,1.092
{14},"{18,30,44}",0.128,0.179,1.130
{14},"{34,30,44}",0.115,0.160,1.114
{14},"{19,44}",0.165,0.231,1.086
{14},"{18,19,44}",0.129,0.181,1.133
{14},"{34,19,44}",0.116,0.162,1.137
{14},"{30,19,44}",0.100,0.140,1.110
{14},"{6,44}",0.155,0.217,1.055
{14},"{18,6,44}",0.119,0.167,1.091
{14},"{34,6,44}",0.108,0.151,1.103
{14},"{1,44}",0.157,0.219,1.097
{14},"{18,1,44}",0.123,0.172,1.113
{14},"{34,1,44}",0.112,0.156,1.122
{14},"{48,44}",0.145,0.202,1.087
{14},"{18,48,44}",0.111,0.155,1.138
{14},"{34,48,44}",0.102,0.142,1.121
{14},"{4,44}",0.121,0.169,1.076
{14},"{49,44}",0.110,0.153,1.070
{14},"{16,44}",0.152,0.213,1.088
{14},"{18,16,44}",0.116,0.162,1.121
{14},"{34,16,44}",0.105,0.147,1.139
{14},"{26,44}",0.123,0.172,1.095
{14},"{32,44}",0.123,0.171,1.044
{14},"{18,46}",0.215,0.300,1.071
{14},"{19,46}",0.161,0.225,1.092
{14},"{18,19,46}",0.126,0.176,1.101
{14},"{34,19,46}",0.115,0.161,1.112
{14},"{30,19,46}",0.102,0.143,1.113
{14},"{6,46}",0.156,0.218,1.035
{14},"{18,6,46}",0.125,0.175,1.062
{14},"{34,6,46}",0.113,0.158,1.061
{14},"{30,6,46}",0.100,0.140,1.060
{14},"{1,46}",0.152,0.212,1.051
{14},"{18,1,46}",0.119,0.166,1.076
{14},"{34,1,46}",0.110,0.154,1.062
{14},"{30,1,46}",0.101,0.141,1.097
{14},"{48,46}",0.145,0.202,1.064
{14},"{18,48,46}",0.115,0.160,1.093
{14},"{34,48,46}",0.102,0.143,1.098
{14},"{4,46}",0.120,0.168,1.065
{14},"{44,46}",0.112,0.156,1.090
{14},"{34,46}",0.192,0.268,1.060
{14},"{18,34,46}",0.151,0.211,1.086
{14},"{30,46}",0.175,0.244,1.080
{14},"{34,30,46}",0.120,0.167,1.089
{14},"{18,30,46}",0.136,0.189,1.118
{14},"{32,46}",0.123,0.171,1.050
{14},"{26,46}",0.125,0.175,1.090
{14},"{16,46}",0.152,0.212,1.080
{14},"{18,16,46}",0.116,0.162,1.094
{14},"{34,16,46}",0.108,0.150,1.121
{14},"{49,46}",0.114,0.159,1.064
{14},"{18,12}",0.216,0.301,1.103
{14},"{19,12}",0.162,0.227,1.112
{14},"{18,19,12}",0.132,0.184,1.139
{14},"{34,19,12}",0.111,0.155,1.126
{14},"{30,19,12}",0.103,0.144,1.129
{14},"{6,12}",0.155,0.216,1.068
{14},"{18,6,12}",0.118,0.165,1.091
{14},"{34,6,12}",0.104,0.146,1.081
{14},"{1,12}",0.155,0.217,1.078
{14},"{18,1,12}",0.124,0.173,1.102
{14},"{34,1,12}",0.112,0.157,1.114
{14},"{48,12}",0.141,0.196,1.080
{14},"{18,48,12}",0.113,0.158,1.123
{14},"{4,12}",0.120,0.168,1.081
{14},"{44,12}",0.112,0.157,1.112
{14},"{46,12}",0.114,0.160,1.093
{14},"{34,12}",0.188,0.263,1.105
{14},"{18,34,12}",0.152,0.212,1.134
{14},"{30,12}",0.170,0.237,1.103
{14},"{34,30,12}",0.116,0.162,1.139
{14},"{18,30,12}",0.133,0.186,1.141
{14},"{26,12}",0.121,0.169,1.103
{14},"{16,12}",0.159,0.223,1.108
{14},"{18,16,12}",0.124,0.173,1.136
{14},"{34,16,12}",0.112,0.156,1.148
{14},"{49,12}",0.117,0.163,1.142
{14},"{32,12}",0.115,0.160,1.081
{14},"{18,28}",0.192,0.268,1.098
{14},"{34,28}",0.179,0.249,1.083
{14},"{18,34,28}",0.136,0.190,1.123
{14},"{30,28}",0.154,0.215,1.096
{14},"{18,30,28}",0.118,0.164,1.173
{14},"{34,30,28}",0.107,0.150,1.115
{14},"{19,28}",0.147,0.205,1.079
{14},"{18,19,28}",0.113,0.158,1.121
{14},"{34,19,28}",0.102,0.142,1.108
{14},"{6,28}",0.149,0.208,1.066
{14},"{18,6,28}",0.113,0.158,1.106
{14},"{34,6,28}",0.106,0.148,1.098
{14},"{1,28}",0.146,0.203,1.079
{14},"{18,1,28}",0.114,0.159,1.120
{14},"{34,1,28}",0.105,0.147,1.113
{14},"{48,28}",0.131,0.182,1.068
{14},"{4,28}",0.103,0.144,1.071
{14},"{49,28}",0.102,0.142,1.034
{14},"{32,28}",0.111,0.155,1.043
{14},"{26,28}",0.114,0.159,1.081
{14},"{12,28}",0.113,0.157,1.134
{14},"{16,28}",0.145,0.202,1.077
{14},"{18,16,28}",0.109,0.153,1.124
{14},"{34,16,28}",0.107,0.149,1.139
{14},"{18,42}",0.173,0.241,1.076
{14},"{19,42}",0.133,0.186,1.065
{14},"{18,19,42}",0.104,0.145,1.110
{14},"{6,42}",0.127,0.178,1.062
{14},"{1,42}",0.127,0.178,1.072
{14},"{18,1,42}",0.100,0.140,1.108
{14},"{48,42}",0.121,0.169,1.052
{14},"{4,42}",0.102,0.142,1.054
{14},"{44,42}",0.101,0.141,1.100
{14},"{34,42}",0.160,0.223,1.070
{14},"{18,34,42}",0.122,0.170,1.122
{14},"{30,42}",0.142,0.199,1.060
{14},"{18,30,42}",0.104,0.145,1.097
{14},"{32,42}",0.101,0.141,1.024
{14},"{26,42}",0.101,0.141,1.040
{14},"{16,42}",0.129,0.180,1.060
{14},"{34,39}",0.163,0.228,1.086
{14},"{18,34,39}",0.126,0.176,1.124
{14},"{30,39}",0.146,0.204,1.060
{14},"{34,30,39}",0.102,0.143,1.101
{14},"{18,30,39}",0.110,0.154,1.105
{14},"{1,39}",0.132,0.184,1.054
{14},"{48,39}",0.125,0.175,1.079
{14},"{18,39}",0.175,0.244,1.069
{14},"{16,39}",0.131,0.183,1.077
{14},"{19,39}",0.134,0.187,1.050
{14},"{18,19,39}",0.105,0.147,1.075
{14},"{6,39}",0.129,0.180,1.056
{14},"{49,39}",0.102,0.142,1.088
{14},"{32,39}",0.101,0.141,1.087
{14},"{18,21}",0.175,0.244,1.096
{14},"{34,21}",0.152,0.212,1.080
{14},"{18,34,21}",0.114,0.160,1.113
{14},"{30,21}",0.143,0.200,1.096
{14},"{18,30,21}",0.107,0.150,1.129
{14},"{19,21}",0.136,0.190,1.091
{14},"{18,19,21}",0.105,0.147,1.110
{14},"{6,21}",0.137,0.191,1.065
{14},"{18,6,21}",0.105,0.147,1.091
{14},"{1,21}",0.131,0.183,1.052
{14},"{18,1,21}",0.103,0.143,1.088
{14},"{48,21}",0.116,0.162,1.112
{14},"{4,21}",0.101,0.142,1.082
{14},"{16,21}",0.130,0.182,1.090
{14},"{26,21}",0.103,0.144,1.084
{14},"{32,21}",0.101,0.141,1.081
{14},"{18,15}",0.164,0.230,1.031
{14},"{34,15}",0.151,0.211,1.046
{14},"{18,34,15}",0.114,0.159,1.065
{14},"{30,15}",0.140,0.196,1.060
{14},"{18,30,15}",0.106,0.148,1.096
{14},"{6,15}",0.120,0.168,1.026
{14},"{16,15}",0.120,0.168,1.028
{14},"{26,15}",0.101,0.141,1.016
{14},"{19,15}",0.130,0.181,1.038
{14},"{18,19,15}",0.102,0.143,1.066
{14},"{1,15}",0.119,0.166,1.051
{14},"{48,15}",0.113,0.158,1.018
{14},"{18,0}",0.158,0.221,1.076
{14},"{34,0}",0.143,0.199,1.076
{14},"{18,34,0}",0.110,0.153,1.114
{14},"{30,0}",0.132,0.184,1.098
{14},"{19,0}",0.115,0.160,1.057
{14},"{6,0}",0.117,0.164,1.070
{14},"{1,0}",0.117,0.163,1.072
{14},"{48,0}",0.111,0.155,1.082
{14},"{16,0}",0.120,0.168,1.090
{14},"{18,11}",0.149,0.209,1.018
{14},"{34,11}",0.139,0.194,1.022
{14},"{18,34,11}",0.106,0.148,1.046
{14},"{30,11}",0.123,0.172,1.002
{14},"{19,11}",0.114,0.159,0.988
{14},"{6,11}",0.108,0.150,0.999
{14},"{1,11}",0.110,0.154,0.992
{14},"{48,11}",0.101,0.141,1.015
{14},"{16,11}",0.110,0.153,0.996
{14},"{18,29}",0.157,0.219,1.037
{14},"{34,29}",0.134,0.187,1.043
{14},"{18,34,29}",0.106,0.149,1.075
{14},"{30,29}",0.124,0.174,1.062
{14},"{19,29}",0.117,0.163,1.024
{14},"{6,29}",0.118,0.165,1.033
{14},"{1,29}",0.111,0.155,1.050
{14},"{16,29}",0.115,0.161,1.049
{14},"{48,29}",0.101,0.142,1.055
{14},"{18,2}",0.155,0.217,1.071
{14},"{19,2}",0.119,0.166,1.060
{14},"{6,2}",0.119,0.166,1.073
{14},"{1,2}",0.116,0.162,1.064
{14},"{48,2}",0.104,0.145,1.054
{14},"{34,2}",0.143,0.199,1.066
{14},"{18,34,2}",0.112,0.156,1.095
{14},"{30,2}",0.120,0.168,1.074
{14},"{16,2}",0.108,0.151,1.044
{14},"{18,20}",0.159,0.223,1.104
{14},"{34,20}",0.136,0.190,1.074
{14},"{18,34,20}",0.111,0.155,1.125
{14},"{30,20}",0.122,0.170,1.105
{14},"{19,20}",0.124,0.174,1.110
{14},"{18,19,20}",0.101,0.142,1.159
{14},"{6,20}",0.119,0.167,1.091
{14},"{1,20}",0.117,0.164,1.063
{14},"{16,20}",0.112,0.156,1.077
{14},"{18,38}",0.153,0.214,1.085
{14},"{34,38}",0.141,0.196,1.096
{14},"{18,34,38}",0.107,0.149,1.117
{14},"{30,38}",0.124,0.173,1.102
{14},"{19,38}",0.116,0.162,1.102
{14},"{6,38}",0.114,0.159,1.079
{14},"{1,38}",0.117,0.163,1.083
{14},"{16,38}",0.116,0.162,1.131
{14},"{48,38}",0.105,0.147,1.072
{14},"{18,3}",0.133,0.186,1.065
{14},"{34,3}",0.123,0.171,1.059
{14},"{30,3}",0.107,0.150,1.052
{14},"{6,3}",0.100,0.140,1.044
{14},"{19,3}",0.104,0.145,1.058
{14},"{34,37}",0.123,0.172,1.085
{14},"{30,37}",0.105,0.147,1.080
{14},"{18,37}",0.130,0.181,1.083
{14},"{16,37}",0.102,0.142,1.075
{14},"{19,37}",0.102,0.143,1.082
{14},"{18,5}",0.129,0.181,1.085
{14},"{34,5}",0.117,0.163,1.069
{14},"{18,35}",0.122,0.170,1.108
{14},"{34,35}",0.116,0.162,1.097
{14},"{18,24}",0.122,0.171,1.094
{14},"{34,24}",0.108,0.151,1.069
{14},"{34,43}",0.110,0.153,1.096
{14},"{18,43}",0.122,0.170,1.077
{14},"{18,41}",0.111,0.155,1.058
{14},"{34,41}",0.105,0.147,1.037
{14},"{34,47}",0.101,0.141,1.044
{14},"{18,47}",0.110,0.154,1.072
{18},{14},0.527,0.748,1.043
{18},{34},0.466,0.662,1.033
{18},{30},0.397,0.563,0.999
{18},{19},0.400,0.567,1.051
{18},{6},0.382,0.541,1.026
{18},{1},0.387,0.549,1.056
{18},{16},0.369,0.523,1.019
{18},{48},0.348,0.493,1.030
{18},{32},0.304,0.431,1.043
{18},{26},0.299,0.425,1.029
{18},{4},0.290,0.412,1.038
{18},{49},0.283,0.401,1.032
{18},{44},0.271,0.384,1.030
{18},{46},0.280,0.398,1.068
{18},{12},0.273,0.387,1.058
{18},{28},0.244,0.346,1.012
{18},{42},0.224,0.318,1.002
{18},{39},0.229,0.324,1.026
{18},{21},0.223,0.316,1.029
{18},{15},0.223,0.316,1.034
{18},{0},0.206,0.292,1.025
{18},{11},0.205,0.291,1.031
{18},{29},0.212,0.300,1.071
{18},{2},0.203,0.287,1.054
{18},{20},0.202,0.286,1.056
{18},{38},0.197,0.279,1.038
{18},{3},0.175,0.248,1.041
{18},{37},0.167,0.237,1.018
{18},{5},0.166,0.236,1.041
{18},{35},0.154,0.218,0.985
{18},{24},0.156,0.221,1.042
{18},{43},0.158,0.224,1.077
{18},{41},0.146,0.207,1.002
{18},{47},0.144,0.204,0.989
{18},{33},0.119,0.169,1.004
{18},{31},0.117,0.167,1.007
{18},{13},0.110,0.156,1.052
{18},{10},0.100,0.142,1.012
{18},"{14,34}",0.360,0.511,1.076
{18},"{14,30}",0.310,0.439,1.043
{18},"{34,30}",0.270,0.382,1.039
{18},"{14,34,30}",0.216,0.306,1.085
{18},"{14,19}",0.306,0.434,1.085
{18},"{34,19}",0.274,0.389,1.080
{18},"{14,34,19}",0.215,0.305,1.110
{18},"{30,19}",0.237,0.336,1.062
{18},"{14,30,19}",0.186,0.264,1.098
{18},"{14,34,30,19}",0.133,0.189,1.130
{18},"{34,30,19}",0.166,0.235,1.096
{18},"{14,6}",0.290,0.411,1.059
{18},"{34,6}",0.262,0.372,1.054
{18},"{14,34,6}",0.202,0.287,1.081
{18},"{30,6}",0.222,0.314,1.025
{18},"{14,30,6}",0.174,0.247,1.053
{18},"{14,34,30,6}",0.122,0.174,1.073
{18},"{34,30,6}",0.154,0.219,1.054
{18},"{19,6}",0.222,0.315,1.055
{18},"{14,19,6}",0.171,0.242,1.099
{18},"{14,34,19,6}",0.121,0.171,1.111
{18},"{14,30,19,6}",0.105,0.149,1.098
{18},"{34,19,6}",0.155,0.220,1.078
{18},"{30,19,6}",0.133,0.188,1.053
{18},"{14,1}",0.293,0.415,1.086
{18},"{34,1}",0.271,0.384,1.090
{18},"{14,34,1}",0.211,0.299,1.124
{18},"{30,1}",0.225,0.319,1.029
{18},"{14,30,1}",0.181,0.257,1.074
{18},"{14,34,30,1}",0.131,0.186,1.111
{18},"{34,30,1}",0.162,0.230,1.075
{18},"{19,1}",0.223,0.316,1.097
{18},"{14,19,1}",0.173,0.245,1.115
{18},"{14,34,19,1}",0.128,0.181,1.136
{18},"{14,30,19,1}",0.108,0.153,1.105
{18},"{34,19,1}",0.160,0.228,1.120
{18},"{30,19,1}",0.134,0.190,1.073
{18},"{6,1}",0.218,0.309,1.085
{18},"{14,6,1}",0.165,0.235,1.096
{18},"{14,34,6,1}",0.121,0.172,1.105
{18},"{14,30,6,1}",0.103,0.146,1.069
{18},"{14,19,6,1}",0.101,0.143,1.119
{18},"{34,6,1}",0.156,0.221,1.098
{18},"{30,6,1}",0.129,0.184,1.052
{18},"{19,6,1}",0.130,0.184,1.103
{18},"{14,16}",0.280,0.398,1.047
{18},"{34,16}",0.246,0.348,1.048
{18},"{14,34,16}",0.195,0.276,1.075
{18},"{30,16}",0.206,0.292,1.005
{18},"{14,30,16}",0.160,0.227,1.032
{18},"{14,34,30,16}",0.113,0.160,1.068
{18},"{34,30,16}",0.141,0.200,1.041
{18},"{6,16}",0.204,0.290,1.041
{18},"{14,6,16}",0.157,0.223,1.069
{18},"{14,34,6,16}",0.110,0.156,1.095
{18},"{34,6,16}",0.139,0.198,1.078
{18},"{30,6,16}",0.119,0.168,1.028
{18},"{19,6,16}",0.121,0.171,1.063
{18},"{19,16}",0.215,0.305,1.065
{18},"{14,19,16}",0.163,0.231,1.080
{18},"{14,34,19,16}",0.115,0.163,1.100
{18},"{34,19,16}",0.146,0.207,1.089
{18},"{30,19,16}",0.126,0.178,1.069
{18},"{1,16}",0.209,0.297,1.069
{18},"{14,1,16}",0.159,0.226,1.084
{18},"{14,34,1,16}",0.113,0.161,1.104
{18},"{34,1,16}",0.144,0.204,1.088
{18},"{30,1,16}",0.121,0.172,1.045
{18},"{19,1,16}",0.125,0.177,1.105
{18},"{6,1,16}",0.122,0.173,1.092
{18},"{14,48}",0.270,0.383,1.077
{18},"{34,48}",0.235,0.334,1.055
{18},"{14,34,48}",0.187,0.265,1.096
{18},"{30,48}",0.205,0.291,1.031
{18},"{14,30,48}",0.165,0.234,1.077
{18},"{14,34,30,48}",0.119,0.169,1.123
{18},"{34,30,48}",0.144,0.205,1.076
{18},"{19,48}",0.201,0.285,1.065
{18},"{14,19,48}",0.161,0.229,1.091
{18},"{14,34,19,48}",0.113,0.160,1.110
{18},"{14,30,19,48}",0.102,0.144,1.104
{18},"{34,19,48}",0.136,0.193,1.088
{18},"{30,19,48}",0.125,0.177,1.072
{18},"{6,48}",0.191,0.270,1.056
{18},"{14,6,48}",0.151,0.215,1.108
